segment_width,mi_score,cell_name
0.05,0.7848404826683002,b1c15
0.1,0.9798326304401126,b1c15
0.15,0.9999949507584213,b1c15
0.2,1.0316763028307112,b1c15
0.25,1.006935600826479,b1c15
0.05,1.010521414220678,b1c20
0.1,1.212376985899395,b1c20
0.15,1.253350290881453,b1c20
0.2,1.2681188824903578,b1c20
0.25,1.2502540883201203,b1c20
0.05,0.8531354237890066,b1c24
0.1,1.0566457704459848,b1c24
0.15,1.0410910040869534,b1c24
0.2,1.0174690333880936,b1c24
0.25,1.0030134974537626,b1c24
0.05,0.864115250267988,b1c25
0.1,1.0598327696108385,b1c25
0.15,1.0894503727258311,b1c25
0.2,1.0924540401559075,b1c25
0.25,1.0985204425310076,b1c25
